Acronym,Definition,Source(s)
QMS,Quality Management System,Quality_Assurance_Plan.pdf page 5
QSFP,Quad Small Form-factor Pluggable,LCLSII-HE-1.5-ES-0168.pdf page 3
QTR,Qualification Test Record,Inspection_Examination_Services__SOW.pdf page 2
QW,Quarterwave,LCLSII-HE-1.2-TS-0206.pdf page 9
Qext,External quality factor,CDR-full.pdf page 516
Qext or QLoaded,External quality factor of the fundamental power coupler,LCLS-II_Cryomodule_Non-Expert_User_Manual.pdf page 2
Qo,Unloaded quality factor,CDR-full.pdf page 516
Qt,Free and open-source widget toolkit for creating graphical user interfaces as well as cross-platform applications,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 3
R&D,Research and Development,CDR-full.pdf page 516
R56,Longitudinal dispersion in electron optics,LCLSII-HE-1.3-PR-0130.pdf page 3
RAC,Risk Assessment Code,Fire_Hazard_Analysis.pdf page 36
RADFET,Radiation-Sensing Field-Effect Transistor,Undulator_Radiation_Monitoring_System.pdf page 3
RADFET,RADiation sensitive Field Effect Transistors Dosimeter,AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 3
RADFET,RADFET: Radiation Detector FET.,CDR-full.pdf page 516
RAM,Responsibility Assignment Matrix,Systems_Engineering_Management_Plan.pdf page 5
RCA,Radiologically Controlled Area,Radiation_Protection_Requirements_for_the_Beam_Transport_Hall.pdf page 3
RCM,Requirement Compliance Matrix,LCLSII-HE-1.1-QA-0230.pdf page 6
RCM,Radiological Control Manual,CDR-full.pdf page 516
RCRA,Resource Conservation and Recovery Act,Construction_Project_Safety_and_Health_Plan.pdf page 7
RCS,Radiation Control System,CDR-full.pdf page 516
RCS,Radiation Control System An engineered system consisting of passive and active elements that contain/limit the beam and/or radiation to ensure that individuals outside the beamline housing or barrier do not receive excessive radiation dose.” ANSI/HPS N43.1-2011 Section 2.2,ODH_Controls.pdf page 6
RCS,Radiation Control System (RCS): An engineered system consisting of passive and active elements that contain/limit the beam and/or radiation to ensure that individuals outside the beamline housing or barrier do not receive excessive radiation dose.” ANSI/HPS N43.1- 2011 Section 2.2,Radiation_Safety_System_Controls.pdf page 4
RDM,Residual Dose Monitor,PPS_Requirements_(Electron_Beamlines).pdf page 3
RDR,Reference Design Report (of the ILC),CDR-full.pdf page 516
RDS,Room Data Sheet,LCLSII-HE-1.5-FR-0478.pdf page 3
RDS,Room Data Sheets for Facilities,RSS_Controls.pdf page 7
RDS,Room Data Sheets,XTES_to_Infrastructure_Systems.pdf page 2
RE,Responsible Engineer,LCLS-II-HE-1.1-QA-0293.pdf page 7
REA,Responsible Engineering Authority,XTES_BCS_Photon_Stopper.pdf page 4
REC,Recovery,HRS.00.00-SR-SLAC-SRR-2-Electrical_Report.pdf page 5
RED,Research Electronics and Software Division,LCLS-II_Injector_Laser_Controls_Functional_Requirements.pdf page 2
RES,Resonance control chassis,LCLSII_LLRF_link_to_BSA_MPS.pdf page 2
RESETCODE,Last Reset Code,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
REV,Reverse/Reflected Power (W),LCLSII-HE-1.5-FR-0258.pdf page 20
RF,"Radio Frequency, 0 – 300 GHz",LCLSII-HE-1.5-FR-0711.pdf page 5
RF,Radio Frequency,CDR-full.pdf page 517
RF,Radio-Frequency,LCLSII-HE-1.3-SW-0076.pdf page 10
RF,Radiofrequency,PPS_Requirements_(Electron_Beamlines).pdf page 3
RF Cavity BPM,BPM installed in the LCLS Undulator Hall containing RF cavities,LCLS-II_RF_Cavity_BPM_SC_Mode_Firmware_SOW.pdf page 3
RF DC Level,RF Down Converter Local Oscillator power level not ok,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
RF DC PLL,RF DC not locked to 10 MHz,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
RF DC Power,RF Down Converter power not ok,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
RF DC Temperature,RF Down Converter PCB temp reaches limit,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
RF ID,Radiofrequency Identification Used for a badge card reader. Central SLAC security function.,ODH_Controls.pdf page 6
RF ID,Radiofrequency Identification Used for a badge card reader,RSS_Controls.pdf page 7
RF-BPM,Radio-Frequency Beam Position Monitor(s),CDR-full.pdf page 517
RFBPM,Radio Frequency Beam Position Monitor,AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 4
RFC,Request for Clarification,LCLS-II_Cryo_Plant_Electrical_Equipment_Power_Study.pdf page 8
RFI,Request for Information,Justification_of_the_VHF_Gun_RF_Amplifier_Technology_Selection.pdf page 1
RFI,Ready for installation,Accelerator_Systems_to_Cryogenic_Systems.pdf page 3
RFI,Ready for Install,LCLSII-HE-1.3-PP-0706.pdf page 5
RFP,Request for Proposal,Construction_Project_Safety_and_Health_Plan.pdf page 7
RFP,Request for Proposals,Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
RFQ,Request for Quotation,Procurement_Plan.pdf page 5
RFS,Radio Frequency Station,LCLSII-HE-1.5-ES-0192.pdf page 4
RFS,RF Station,LCLS-II_Beam_Containment_System_Average_Current_Monitors_ESD.pdf page 3
RFS,RF Station chassis,LCLSII_LLRF_link_to_BSA_MPS.pdf page 2
RFoF,RF over Fiber,LCLSII-HE-1.4-EN-0368.pdf page 2
RGA,Residual Gas Analysis,XTES_Test_Photon_Stopper.pdf page 4
RGA,Residual Gas Analyzer,XTES_Rapid_Turnaround_Diag_Station.pdf page 2
RGD,Radiation Generating Device,Report_from_Nov.2017_Meeting_with_ARR_Committee_Chair.pdf page 3
RH,Right Hand,LCLSII-HE-1.4-PP-0756.pdf page 3
RHEL,"Red Hat Enterprise Linux, PCDS operating system of choice",Statement_of_Work_for_XTES_SXR_Vacuum_Control_System_Design_and_Implementation.pdf page 2
RIS,Radiation Interlock System,LCLSII-HE-1.6-RD-0366.pdf page 3
RIXS,Resonant Inelastic X-ray Scattering,CDR-full.pdf page 517
RL,Refractive Lens,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
RLCW,Radioactive Low-Conductivity Water,EBD_Permanent_Ladder_Installation_Procedure.pdf page 3
RLM,Responsible Line Manager,LCLS-II-HE-1.1-QA-0293.pdf page 7
RM,Requirement Management,LCLSII-HE-1.1-QA-0230.pdf page 6
RMS,Root Mean Square,CDR-full.pdf page 517
ROI,Region of Interest,LCLS-II_Profile_Monitor_Controls_Functional_Requirements.pdf page 2
RP,SLAC Radiation Protection Department (RPD),XTES_Gas_Attenuator.pdf page 4
RP,Roughing Vacuum Pump,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
RP,Radiation Physics,LTU_to_Infrastructure.pdf page 2
RP,Vacuum Roughing Pump,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
RP,Radiation Protection (department),LCLSII-HE-1.6-RD-0337.pdf page 3
RP,Radiation Protection,LCLSII-HE-1.6-SW-0799.pdf page 6
RP,Radiation Physics Department,Single_Slit_Absorber_ESD.pdf page 4
RPD,Radiation Protection Department,Radiation_Protection_Requirements_for_the_Main_Dumps_and_BSY_Dump_LCW_Systems.pdf page 2
RPFO,Radiation Protection Field Operation,Radiation_Protection_Requirements_for_the_Main_Dumps_and_BSY_Dump_LCW_Systems.pdf page 2
RPN,Radiation Physics Note,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
RR,Readiness Review,Systems_Engineering_Management_Plan.pdf page 5
RRF,Risk Reduction Factor RRF = Expected Risk / Target Risk,Oxygen_Deficiency_Hazard_Engineering_Controls.pdf page 5
RRF,Risk Reduction Factor,ODH_Controls.pdf page 6
RRR,Residual Resistance Ratio,CDR-full.pdf page 517
RSB,"Research Support Building, B052. Accelerator Operations is expected to operate from the new B052 control room for LCLS-II commissioning.",Radiation_Safety_System_Controls.pdf page 4
RSC,Radiation Safety Committee,LCLSII-HE-1.1-PR-0031.pdf page 3
RSO,Radiation Safety Officer,Construction_Project_Safety_and_Health_Plan.pdf page 7
RSO,Radiation Safety Officer (the AHJ for the PPS and BCS),RSS_Controls.pdf page 7
RSO,Radiation Safety Officer (the AHJ for the PPS),ODH_Controls.pdf page 6
RSS,SLAC Radiation Safety System,CDR-full.pdf page 517
RSS,"Radiation Safety System The RSS protects personnel from prompt radiation due to accelerator operation. Functionally, RSS = ACS + RCS",Radiation_Safety_System_Controls.pdf page 4
RSS,Radiation Safety Systems,Radiation_Protection_Requirements_for_Linac_Penetrations.pdf page 3
RSS,Radiation Safety System,PPS_to_InfrastructureSystems.pdf page 3
RSS,Radiation Safety System The RSS protects personnel from prompt radiation due to accelerator operation. RSS = ACS + RCS,ODH_Controls.pdf page 6
RSS Controls,"Radiation Safety System Controls The implementation involves multiple controls subsystems, but the 2 primary systems, PPS for ACS and BCS for RCS are used to represent the collection of all controls interlocked to access or beam operations.",Radiation_Safety_System_Controls.pdf page 4
RSSI,Reliable SLAC Streaming Interface,HPS_Common_Platform_Engineering_Specification.pdf page 5
RSWCF,Radiation Safety Work Control Form,Radiation_Safety_System_Controls.pdf page 4
RSXS,Resonant Soft X-ray Scattering End Station,CDR-full.pdf page 517
RSY,Research Yard area of SLAC,CDR-full.pdf page 517
RSY,Research Yard,LTU_ESD.pdf page 3
RT,Room Temperature,GunB_Electron_Gun_Cold_Test_Procedure.pdf page 1
RTAC,Real-time Automation Controller,LCLS-II_Cryo_Plant_Electrical_Equipment_Power_Study.pdf page 8
RTBD,Radiation Safety Technical Basis Document,Radiation_Safety_System_Controls.pdf page 4
RTD,Resistance Temperature Detector,LCLSII-HE-1.4-ES-0651.pdf page 3
RTDS,Rapid Turnaround Diagnostic Station,XTES_Rapid_Turnaround_Diag_Station.pdf page 2
RTEMS,Real-Time Executive for Multiprocessor Systems,CDR-full.pdf page 517
RTL,Ring to LINAC,PPS_to_InfrastructureSystems.pdf page 3
RTL,Real Time Logic,HPS_Common_Platform_Engineering_Specification.pdf page 5
RTM,Rear Transition Module,HPS_Common_Platform_Engineering_Specification.pdf page 5
RUDP,Reliable User Datagram Protocol,HPS_Common_Platform_Engineering_Specification.pdf page 5
RWM,Radioactive Waste Manual,CDR-full.pdf page 517
RWP,Radiological Work Permit,BSY_Dump_Removal_and_Installation_Procedure.pdf page 6
RWQCB,Regional Water Quality Control Board,Environmental_radiation_monitoring.pdf page 2
RX,Receiver,HPS_Common_Platform_Engineering_Specification.pdf page 5
RX,Rotation along X axis,LCLSII-HE-1.4-ES-0422.pdf page 4
RX Cable,Receiver RF cable disconnected,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
RXES,Resonant X-ray Emission Spectroscopy,LCLSII-HE-1.4-PR-0212.pdf page 3
RY,Research Yard,PPS_Requirements_(Electron_Beamlines).pdf page 3
RY,Rotation along Y axis,LCLSII-HE-1.4-ES-0422.pdf page 4
RZ,Rotation along Z axis,LCLSII-HE-1.4-ES-0422.pdf page 4
Rack Name,Location or Penetration,Magnet_Power_Supply_Controls_Internal_Interface_Requirements.pdf page 6
Racks,Seismically rated enclosures that ultimately house the electronics equipment listed in the BOM and in this document. Common IT industry enclosures for 19” wide mountable chassis’ and hardware.,LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
Rb,"Rubidium stabilized frequency source, typically stable to < 1e-9.",CDR-full.pdf page 516
Risk Evaluation Team,"Consists of Project Technical Staff, System/Sub-system/Component Manager, QA Manager/Engineer/Representative, SMEs",LCLSII-HE-1.1-QA-0229.pdf page 5
S# (S10),Sector # (Sector 10),PPS_Requirements_(Electron_Beamlines).pdf page 3
S# (S10),Linac Sector # (Sector 10),Air_Ventilation.pdf page 3
S-ARPES,Spin resolved Angle Resolved Photoemission Spectroscopy,CDR-full.pdf page 517
S-band,Microwave band of EM spectrum; usually 2.856 GHz as the SLAC RF frequency,CDR-full.pdf page 517
S/CI,Suspect and Counterfeit Items,Construction_Project_Safety_and_Health_Plan.pdf page 7
S/CI,Suspect/Counterfeit Item,LCLS-II-HE-1.1-QA-0293.pdf page 7
S20 Shield,Sector 20 Shield Wall.,Radiation_Safety_System_Controls.pdf page 4
S2E,Start-to-End,FEE_and_NEH_1.1_Burn_Through_Calculations.pdf page 2
S2E,Start to End FEL simulations,BCS_Absorber_Diode_Based_BTM.pdf page 2
S2E,Start to end,LCLSII-HE-1.1-PR-0014.pdf page 3
S2E,Start-to-End simulation,CDR-full.pdf page 517
S30MCS,Sector 30 Magnet Cooling System (rad system),LCLSII-HE-1.6-RD-0291.pdf page 3
SAD,Single-wavelength Anomalous Dispersion,CDR-full.pdf page 517
SAD,Safety Assessment Document,LCLSII-HE-1.1-QA-0230.pdf page 6
SAD,LCLS-II Safety Assessment Document,CDR-full.pdf page 517
SALT,SLAC Asynchronous Logic Transceiver,HPS_Common_Platform_Engineering_Specification.pdf page 5
SARC,South SLC ARC tunnel,PPS_Requirements_(Electron_Beamlines).pdf page 3
SASE,Self-Amplified Spontaneous Emission (an FEL lasing process),CDR-full.pdf page 517
SASE,Self-Amplified Spontaneous Emission,XTES_Gas_Energy_Monitors.pdf page 3
SAT,Safety Assurance Test,LCLS-II_Beam_Containment_System_PLC_Engineer_Services_Effort.pdf page 2
SAT,Site Acceptance Tests,LCLSII-HE-1.4-ES-0422.pdf page 4
SATT,HE Solid Attenuator,LCLSII-HE-1.4-ES-0182.pdf page 3
SATT,Solid Attenuator,LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 4
SAXS,Small Angle X-ray Scattering,CDR-full.pdf page 517
SC,Superconducting,PPS_Requirements_(Electron_Beamlines).pdf page 3
SC,Subcooler,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
SC,Superconducting. SC Linac refers to the new superconducting Linac,Requirements_for_EBD_Beam-dump_Vacuum_Chamber_Protection.pdf page 3
SC,Super Conducting,Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
SC,Superconducting LINAC,LCLS-II_SC_Timing_System_Checkout_Procedure_for_Gun_Restart.pdf page 4
SC LINAC,Superconducting Linear Accelerator,ODH_Controls.pdf page 6
SC LINAC,Super-conducting Linear Accelerator for LCLS-II.,Radiation_Safety_System_Controls.pdf page 4
SC-HXR,Superconducting Linac and Hard X-ray Undulator system,XTES_Solid_Attenuator.pdf page 3
SC-Linac,Super Conducting Linac,FEE_and_NEH_1.1_Burn_Through_Calculations.pdf page 2
SC10,LASER,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC11,SC_BSYD,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC12,SC_BSYD,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC13,SC_DIAG0,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC14,SC_BSYD AND/OR SC_DIAG0,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC15,SC_HXR AND/OR SC_DIAG0,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC16,SC_SXR AND/OR SC_DIAG0,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC17,SC_HXR AND/OR SC_DIAG0 AND/OR SC_SXR,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 11
SC17,SC_HXR AND/OR SC_DIAG0AND/OR SC_SXR,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SC18,SC_SXR AND/OR SC_DIAG0 AND/OR SC_SXR,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 11
SC18,SC_SXR,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
SCADA,Supervisory Control And Data Acquisition,XTES_Photon_Machine_Protection_System_Functional_Requirements.pdf page 3
SCB,Sub-Atmospheric (2K) Coldbox,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
SCF,"Standard Cubic Feet, (70 deg. F and 14.7 PSIA)",ODHA_PM.pdf page 4
SCF,Standard Cubic Feet,CDR-full.pdf page 517
SCF,Standard Cubic Foot at standard pressure and temperature,Cryogenic_Plant.pdf page 4
SCFM,Standard Cubic Foot per Minute,CDR-full.pdf page 517
SCFM,Standard Cubic Feet per Minute,ODHA_PM.pdf page 4
SCL,Superconducting Linac,Roles_and_Responsibilities_for_Cool_Down_of_the_LCLS_Superconducting_Linac.pdf page 3
SCL,Super Conducting Linac,CDR-full.pdf page 517
SCRF,Superconducting Radiofrequency,LCLSII-HE-1.4-ES-0651.pdf page 3
SCRF,Superconducting RF,LCLSII-HE-1.5-IC-0405.pdf page 3
SCRF,Superconducting Radio Frequency (Linac),XTES_PRD.pdf page 2
SCRF,Superconducting Radio Frequency,LCLSII-HE-1.1-PR-0038.pdf page 3
SCRF,SuperConducting Radio Frequency (RF accelerating systems),CDR-full.pdf page 517
SCRF,Superconducting Radio Frequency (the high-rate linac),Dump_Line_Requirements.pdf page 1
SCRF,Super conducting RF Linac,XTES_Shield.pdf page 3
SCRF Linac,Super Conducting Linac,LTU_ESD.pdf page 3
SCSIL,Superconducting systems integration lead,Roles_and_Responsibilities_for_Cool_Down_of_the_LCLS_Superconducting_Linac.pdf page 3
SC_BSYD,The high power dump in the BSY,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
SDL,Supported Device List,LCLSII-HE-1.5-IC-0488.pdf page 5
SDP,System Design Plan,LCLSII-HE-1.1-QA-0230.pdf page 6
SDR,South Damping Ring,PPS_Requirements_(Electron_Beamlines).pdf page 3
SDS,Sample Delivery System,LCLSII-HE-1.4-ES-0570.pdf page 3
SDS,Safety Data Sheet,Construction_Project_Safety_and_Health_Plan.pdf page 7
SE,Software Engineer,Control_Safety_Review_Plan.pdf page 5
SEL,Self-excited loop,LCLS-II_Cryomodule_Non-Expert_User_Manual.pdf page 2
SEL,Self-Excited Loop - LLRF regulation mode without phase or amplitude regulation. SEL is characterized by the LLRF system tracking the dynamic natural frequency of the SRF cavity,LCLSII_LLRF_link_to_BSA_MPS.pdf page 2
SELAP,SEL with Amplitude and Phase regulation – LLRF regulation mode with full phase and amplitude regulation. SELAP is the normal RF operating mode while the accelerator is accelerating beam.,LCLSII_LLRF_link_to_BSA_MPS.pdf page 2
SELAP,"Self-Excited Loop, Amplitude and Phase",LCLSII-HE-1.2-TS-0206.pdf page 9
SELAP,"Self-exited loop, amplitude and phase regulated",LCLS-II_Cryomodule_Non-Expert_User_Manual.pdf page 2
SELFTESTCODE,Last Self-Test Code,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
SEM,System Engineering Manager,LCLSII-HE-1.1-QA-0230.pdf page 6
SEMP,Systems Engineering Management Plan,LCLSII-HE-1.1-PM-0219.pdf page 6
SEMP,System Engineering Management Plan,LCLSII-HE-1.1-QA-0230.pdf page 6
SERIALNUMBER,Serial Number,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
SESAM,SEmiconductor Saturable Absorber Mirror,CDR-full.pdf page 517
SEU,Single Event Upset,BCS_ACM_Spartan_Firmware_FRS.pdf page 3
SF,Safety Factor,LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
SFF,Safe Failure Fraction,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
SFP,Small Form-factor Pluggable,HPS_Common_Platform_Engineering_Specification.pdf page 5
SG,Smith Group (AE Consultant),LCLSII_Cryoplant_A_E_services-Electrical_As-Builts.pdf page 2
SH,Shutter or Pulse Picker,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
SIF,Safety Instrumented Function,ODH_Controls.pdf page 6
SIL,Safety Integrity Level Intended to communicate different order or magnitude engineering rigor levels to management as part of a risk-reduction strategy.,ODH_Controls.pdf page 6
SIL,Safety Integrity Level,Linac_Oxygen_Deficiency_Monitoring_Controls.pdf page 3
SIL,Safety Integrity Level Intended to communicate different order of magnitude engineering rigor levels to management as part of a risk-reduction strategy. SIL-3 is the highest safety integrity level and SIL-1 is the lowest safety integrity level. (Some standards go as high as SIL-4).,Oxygen_Deficiency_Hazard_Engineering_Controls.pdf page 5
SIM,Small Instrumentation Module,Beam_Containment_System_BCS_Diamond_PMT_Electronics_Functional_Requirements_Specification.pdf page 2
SIOC,IOC executed as a software process on a server,Cryogenic_Controls_ESD.pdf page 5
SIOC,Soft Input/Output Controller,LCLSII_Injector_Laser_Controls_ESD.pdf page 2
SIOC,Soft Input /Output Controller,LCLS-II_SC_Timing_System_Checkout_Procedure_for_Gun_Restart.pdf page 4
SIR,System Integration Review,Systems_Engineering_Management_Plan.pdf page 5
SIS,Safety Instrumented System,PPS_to_InfrastructureSystems.pdf page 2
SIT,South Injector Terminal,PPS_Requirements_(Electron_Beamlines).pdf page 3
SIT,South Injection Transport,LCLSII-HE-1.3-PR-0022.pdf page 2
SL,Slits or Adjustable Aperture,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
SL,Strip Line (type of BPM),Beam_Position_Monitor_Requirements.pdf page 1
SLAC,SLAC National Lab Accelerator Center,LCLS-II_Cryoplant_Engineering_AE_Assessment_of_Design.pdf page 3
SLAC,SLAC National Accelerator Laboratory (Formerly Stanford Linear Accelerator Center),Infrastructure_AE_Engineering_Services_CP2_SOW.pdf page 4
SLAC,SLAC National Accelerator Laboratory,lcw_requirements.pdf page 2
SLAC,Stanford Linear Accelerator Center,LCLSII-HE-1.6-SW-0433.pdf page 3
SLAC,SLAC National Accelerator Center,Statement_of_Work_for_XTES_SXR_Vacuum_Control_System_Design_and_Implementation.pdf page 2
SLAC,"SLAC National Accelerator Laboratory, the buyer and recipient of the equipment specified herein",LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
SLAC Support Projects,"SLAC Projects effort funded by the lab, necessary for completion of the LCLS-II Project.",SLAC-Projects_Infrastructure-Systems_ICD.pdf page 3
SLC,SLAC Large Collider,LCLSII-HE-1.5-FR-0478.pdf page 3
SLE,SRF Lead Engineer,Roles_and_Responsibilities_for_Cool_Down_of_the_LCLS_Superconducting_Linac.pdf page 3
SLM,Sound Level Meter,Construction_Project_Safety_and_Health_Plan.pdf page 7
SLTR,South Linac To Ring: This is a beamline extending from the linac (at the DRIP) to the South Damping Ring. There is a branch tunnel housing this beamline that extends from the main linac tunnel to the SDR vault.,Linac_Removal_ICD.pdf page 6
SLTUH,Superconducting Linac To Undulator HXR beam line starting at and including BKYSP1H to and including BXSP1H.,AcceptanceCriteria_and_TransferSystems.pdf page 4
SLTUS,Superconducting Linac To Undulator SXR beam line starting at and including BKYSP1S to upstream BRCUS1.,AcceptanceCriteria_and_TransferSystems.pdf page 4
SM,System Manager,LCLSII-HE-1.1-QA-0230.pdf page 6
SM/MM FODU,Fiber Optic Distribution Unit,LCLSII-HE-1.5-ES-0647.pdf page 4
SME,Subject-Matter-Expert,LCLSII-HE-1.1-QA-0230.pdf page 6
SME,Subject Matter Expert,Vacuum_System_Safety.pdf page 2
SME,Subject Matter Expect,LCLSII-HE-1.1-PM-0083.pdf page 4
SNR,Signal-to-Noise Ratio,High-Performance_System_for_the_XTES_GMD_upgrade_and_XGMD_ESD.pdf page 3
SNS,Spallation Neutron Source,CDR-full.pdf page 517
SO,Subcontracting Office,LCLSII-HE-1.1-PM-0009.pdf page 8
SO,Subcontracting Office (Procurement),LCLSII-HE-1.1-QA-0232.pdf page 7
SO-DIMM,Small Outline Dual In-line Memory Module,HPS_Common_Platform_Engineering_Specification.pdf page 5
SOC,Shutoff Chassis,LCLS-II_Beam_Containment_System_ESD.pdf page 5
SODA,SLAC Online Drawing Access,Systems_Engineering_Management_Plan.pdf page 5
SOLEIL,Source Optimisée de Lumière d’Energie Intermédiaire du LURE,CDR-full.pdf page 517
SOLN,Solenoid,SLAC_Injector_Source_Controls_to_LBNL_Injector_Source_Systems.pdf page 4
SOTR,Subcontracting Office Technical Representative,LCLSII-HE-1.1-PM-0009.pdf page 8
SOTR,Subcontract Office Technical Representative,LCLSII-HE-1.1-QA-0229.pdf page 5
SOTR,Subcontracting Officer’s Technical Representative,LCLSII-HE-1.1-PM-0083.pdf page 4
SOW,Scope of Work,LCLSII-HE-1.4-ES-0422.pdf page 4
SOW,Statement of Work,Fire_Sprinkler_Overpressure_Solution.pdf page 3
SP,Set-Point,HRS.CM.00-FA-SLAC-LINAC_Functional_Requirements.pdf page 3
SP,Spectrometer or Monochromator,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
SPD,Spreader Dump line,LCLSII-HE-1.3-ES-0586.pdf page 4
SPDT,Single Pole Double Throw,Halo_Collimator_Mechanical_Specifications.pdf page 3
SPH,Spreader Hard Line,LCLSII-HE-1.3-ES-0586.pdf page 4
SPI,Special Purpose Industrial,Fire_Hazard_Analysis.pdf page 36
SPI,Serial Protocol Interface,HPS_Common_Platform_Engineering_Specification.pdf page 5
SPS,Spreader Soft line,LCLSII-HE-1.3-ES-0586.pdf page 4
SQAP,Software Quality Assurance Plan,LCLSII-HE-1.1-PM-0009.pdf page 8
SQL,Software Quality Level,LCLS-II-HE-1.1-QA-0293.pdf page 7
SR,Strehl Ratio,CDR-full.pdf page 517
SRD,Systems Requirements Document,LCLSII-HE-1.5-IC-0488.pdf page 5
SRF,Superconducting Radiofrequency,LCLSII-HE-1.5-ES-0192.pdf page 4
SRF,Superconducting radio frequency (reference to SRF cavities),Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
SRF,Superconducting Radio Frequency (RF accelerating systems),CDR-full.pdf page 517
SRF,Superconducting Radio Frequency (cavities),LCLSII-HE-1.3-TS-0393.pdf page 6
SRF,Superconducting Radio Frequency,FNAL_CMTS1.pdf page 3
SRF,"Superconducting Radio Frequency, SRF Cavities are used to accelerate electrons.",LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
SRF (SCRF),Superconducting Radio Frequency,LCLSII-HE-1.3-PR-0022.pdf page 2
SRP,SLAC Register Protocol,HPS_Common_Platform_Engineering_Specification.pdf page 5
SRR,Sub-system Readiness Review,HRS.CT.HW-OP-SLAC-Controls-CCI-Check.pdf page 3
SRR,Subsystem Readiness Review,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
SRR,Sub-System Readiness Review (Sub-System Level),LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
SRR,System Requirements Review,LCLSII-HE-1.1-QA-0230.pdf page 5
SRR,System Readiness Review,LCLS-II_Readiness_Review_Process.pdf page 5
SRR,Systems Readiness Review,HRS.00.00-SLAC-Cryogenics_Building_905_Areas_Delineation.pdf page 2
SRTL,South Ring To Linac: This is a beamline extending from the South Damping Ring to the linac (at the DRIP). There is a branch tunnel housing this beamline that extends from the main linac tunnel to the SDR vault.,Linac_Removal_ICD.pdf page 6
SS,Self-Seeding (an FEL seeding method),CDR-full.pdf page 517
SSA,"Solid-State Amplifier, semiconductor amplifier.",LCLSII-HE-1.5-FR-0711.pdf page 5
SSA,Solid State Amplifier,LCLS-II_Beam_Containment_System_ESD.pdf page 5
SSA,Solid-state amplifier,LCLSII-HE-1.3-ES-0712.pdf page 3
SSB,Source Selection Board,LCLSII-HE-1.1-PM-0009.pdf page 8
SSC,"Structure, System, and Component",LCLSII-HE-1.1-QA-0232.pdf page 7
SSC,"System, Sub-System, Component",LCLSII-HE-1.1-QA-0230.pdf page 6
SSH,Secure Shell,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 3
SSI,SLAC Streaming Interface,HPS_Common_Platform_Engineering_Specification.pdf page 5
SSI,Synchronous Serial Interface,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 4
SSMC,Single Source Multiple Cavities,CDR-full.pdf page 518
SSO,SLAC Site Office (DOE),Fire_Hazard_Analysis.pdf page 36
